family	case	revision	rep	latency_ns	ops_per_sec	mib_per_sec	p50_us	p90_us	p99_us	ttfb_p90_us	wall_seconds	cache_hits	cache_misses	cache_writes	read_errors	write_errors	timeouts	hit_avg_ms	write_avg_ms	request_errors	case_request_errors	error_detail	ops_expected	ops_success	statuses
criterion	epoch_to_http_date	after	1	18.786470806911808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	epoch_to_http_date	after	2	18.701509396272684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	epoch_to_http_date	after	3	19.018862111254215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	epoch_to_iso8601	before	1	19.21917183130838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	epoch_to_iso8601	before	2	19.44031826027592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	epoch_to_iso8601	before	3	19.282002272444423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	epoch_to_iso8601	after	1	19.141331941278036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	epoch_to_iso8601	after	2	19.164365538472694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	epoch_to_iso8601	after	3	19.396683289135613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	extract_element	before	1	120.81335195944882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	extract_element	before	2	119.73548062188854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	extract_element	before	3	121.34571907573071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	extract_element	after	1	117.50031375353271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	extract_element	after	2	120.70979523701783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	extract_element	after	3	126.7246364147974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	extract_sections_50_keys	before	1	2668.242412877012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	extract_sections_50_keys	before	2	2658.3256322891375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	extract_sections_50_keys	before	3	2655.1246666666666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	extract_sections_50_keys	after	1	2640.328758818342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
